Date,bank_returns,tech_returns
2020-01-03,-0.017598277838818472,-0.012726425200732453
2020-01-06,-0.0017882722997346983,0.004915505615851634
2020-01-07,-0.01076160228874364,-0.000571475395514757
2020-01-08,0.008509666762937185,0.011296793553685921
2020-01-09,0.004813130165551109,0.014905637592252718
2020-01-10,-0.009536994567497495,0.0009941947580591008
2020-01-13,0.011726964207170084,0.021580481811692847
2020-01-14,0.011566915216929615,-0.013066385830020807
2020-01-15,-0.013856220007750109,-0.0015748045165765816
2020-01-16,0.0007884749583400019,0.014844032016577247
2020-01-17,0.0027047745388802946,0.006024729031410751
2020-01-21,-0.012614946528699175,-0.005247985814627191
2020-01-22,0.0014177894779957567,0.002505873204377266
2020-01-23,-0.0039181935596914,0.00732203018753097
2020-01-24,-0.019706677175170162,-0.007456936816513271
2020-01-27,-0.016929917200628013,-0.029056415402201052
2020-01-28,0.012319802727652688,0.026744210620494407
2020-01-29,-0.006082240526276372,0.008908683372239046
2020-01-30,0.013008677791075915,0.009285962408165815
2020-01-31,-0.026007434472452833,-0.03241900153315206
2020-02-03,0.0071904522694606525,0.012709351060636495
2020-02-04,0.01744841056699024,0.03140814236994335
2020-02-05,0.02671377260175471,0.0072073732161498745
2020-02-06,0.00017135233395208319,0.015449271056357109
2020-02-07,-0.002824442883565944,-0.007546096768841474
2020-02-10,0.0012659992863271647,0.025379404149695455
2020-02-11,0.003988874147956345,-0.0032996964015224637
2020-02-12,0.0024494794435296154,0.014189587340516452
2020-02-13,-0.001771821652294503,-0.00633071531784742
2020-02-14,-0.002474402243937653,0.026459310862765022
2020-02-18,-0.01508000668299451,0.005076193583011886
2020-02-19,0.010942830025539418,0.02620484009681941
2020-02-20,0.001974051992748841,-0.014865342089278847
2020-02-21,-0.01634512023367433,-0.03388014062480701
2020-02-24,-0.04182218467809055,-0.05377091615600774
2020-02-25,-0.04593202686273471,-0.030489327908680863
2020-02-26,-0.009824321241131898,0.01657632473167303
2020-02-27,-0.048431139241556585,-0.06383113374104739
2020-02-28,-0.0267754718897264,0.030929694065864655
2020-03-02,0.047399931892674406,0.061063136184609755
2020-03-03,-0.043420711835610026,-0.03926939946323497
2020-03-04,0.027914899542488786,0.05104292856131135
2020-03-05,-0.05254161583658945,-0.03232268607138322
2020-03-06,-0.04214814327812918,-0.022692097373569104
2020-03-09,-0.14806521456621827,-0.07476544320163643
2020-03-10,0.0787526743886892,0.06804260033020089
2020-03-11,-0.057688703765098714,-0.04533084276554008
2020-03-12,-0.10865581703962446,-0.10532008934197579
2020-03-13,0.17930974839897793,0.1251261015460566
2020-03-16,-0.16553623283720098,-0.15351929037746437
2020-03-17,0.03787860316819928,0.07752311079098817
2020-03-18,-0.08477189543482185,-0.044361047669512065
2020-03-19,0.041547639751407184,0.01961170408332169
2020-03-20,-0.04437675981833463,-0.044981720521466796
2020-03-23,-0.06817299646066295,0.0008370510184117682
2020-03-24,0.14367256633975445,0.12092838525214662
2020-03-25,0.023386509470116,-0.009789318387758095
2020-03-26,0.08193891763319357,0.05416095781089355
2020-03-27,-0.05625826170204792,-0.03333167772547115
2020-03-30,0.01758981876903613,0.04992089697977783
2020-03-31,-0.039442773232596116,-0.008420377810131163
2020-04-01,-0.07248574676031512,-0.05533604918320589
2020-04-02,0.03216743451687772,0.029469741473692784
2020-04-03,-0.03338782958708012,-0.022943781123349456
2020-04-06,0.07636345735366008,0.08733703105590533
2020-04-07,0.0171383314479161,-0.019087696862966703
2020-04-08,0.057505922182726245,0.022067051747334403
2020-04-09,0.07367055486591297,-0.0025690557252004234
2020-04-13,-0.032560430778667514,0.0160362075835551
2020-04-14,-0.020777298939759176,0.05074598060089156
2020-04-15,-0.056859517290466045,-0.010185922701980635
2020-04-16,-0.042468832030952086,0.029106241246215896
2020-04-17,0.09946393828921907,-0.004277680691309034
2020-04-20,-0.03388186204043897,-0.019535314116683817
